Resort Tycoon Day 1<br>Time to build a resort!<br>Got 5 Legendary Banknotes!	Day 1
Resort Tycoon Day 2<br>Pristine beaches for guests!<br>Got 5 Legendary Banknotes!	Day 2
Resort Tycoon Day 3<br>Luxury hotel construction complete!<br>Got 5 Legendary Banknotes!	Day 3
Resort Tycoon Day 4<br>A gift for the grand opening!<br>Got 1 Cat Ticket!	Day 4
Resort Tycoon Day 5<br>Fizzy juice hits the spot!<br>Got 5 Legendary Banknotes!	Day 5
Resort Tycoon Day 6<br>Fun beach activities galore!<br>Got 5 Legendary Banknotes!	Day 6
Resort Tycoon Day 7<br>Reviews are looking good!<br>Got 5 Legendary Banknotes!	Day 7
Resort Tycoon Day 8<br>Launching a worldwide ad campaign!<br>Got 5 Legendary Banknotes!	Day 8
Resort Tycoon Day 9<br>Bespoke merch for sale!<br>Got 1 Cat Ticket!	Day 9
Resort Tycoon Day 10<br>Profits are through the roof!<br>Got 5 Legendary Banknotes!	Day 10
Resort Tycoon Day 11<br>Fully draped in luxury brands!<br>Got 5 Legendary Banknotes!	Day 11
Resort Tycoon Day 12<br>Fanning myself with wads of cash!<br>Got 5 Legendary Banknotes!	Day 12
Resort Tycoon Day 13<br>Tanning on the white sand beach!<br>Got 5 Legendary Banknotes!	Day 13
Resort Tycoon Day 14<br>Party invites come<br>with 1 Rare Ticket!	Day 14
Resort Tycoon Day 15<br>Traveling only by helicopter!<br>Got 5 Legendary Banknotes!	Day 15
Resort Tycoon Day 16<br>Boutique fruit on order!<br>Got 5 Legendary Banknotes!	Day 16
Resort Tycoon Day 17<br>My favorite actor was in the lobby!<br>Got 5 Legendary Banknotes!	Day 17
Resort Tycoon Day 18<br>Our hotel's on a magazine cover!<br>Got 5 Legendary Banknotes!	Day 18
Resort Tycoon Day 19<br>Tucked inside a briefcase:<br>Got 1 Cat Ticket!	Day 19
Resort Tycoon Day 20<br>Always pick up the restaurant bill!<br>Got 5 Legendary Banknotes!	Day 20
Resort Tycoon Day 21<br>Welcome to your pawsonal paradise!<br>Got 5 Legendary Banknotes!	Day 21
