Magnates del Resort: Día 1<br>¡Hora de construir un resort!<br>¡Has ganado 5 billetes legendarios!	Día 1
Magnates del Resort: Día 2<br>Playas prístinas para los clientes<br>¡Has ganado 5 billetes legendarios!	Día 2
Magnates del Resort: Día 3<br>¡Construcción del hotel completada!<br>¡Has ganado 5 billetes legendarios!	Día 3
Magnates del Resort: Día 4<br>Un regalo por la gran inauguración<br>¡Has ganado 1 tique gatuno!	Día 4
Magnates del Resort: Día 5<br>¡Apetece un zumo fresquito!<br>¡Has ganado 5 billetes legendarios!	Día 5
Magnates del Resort: Día 6<br>¡Actividades chulas en la playa!<br>¡Has ganado 5 billetes legendarios!	Día 6
Magnates del Resort: Día 7<br>¡Las opiniones son estupendas!<br>¡Has ganado 5 billetes legendarios!	Día 7
Magnates del Resort: Día 8<br>¡Una campaña de anuncios global!<br>¡Has ganado 5 billetes legendarios!	Día 8
Magnates del Resort: Día 9<br>Artículos personalizados a la venta<br>¡Has ganado 1 tique gatuno!	Día 9
Magnates del Resort: Día 10<br>¡Los beneficios se han disparado!<br>¡Has ganado 5 billetes legendarios!	Día 10
Magnates del Resort: Día 11<br>¡Marcas de lujo a tope!<br>¡Has ganado 5 billetes legendarios!	Día 11
Magnates del Resort: Día 12<br>¡Me abanico con fajos de billetes!<br>¡Has ganado 5 billetes legendarios!	Día 12
Magnates del Resort: Día 13<br>Bronceado en playas de arena blanca<br>¡Has ganado 5 billetes legendarios!	Día 13
Magnates del Resort: Día 14<br>¡La invitación a la fiesta viene<br>con 1 tique raro!	Día 14
Magnates del Resort: Día 15<br>¡Viajes únicamente en helicóptero!<br>¡Has ganado 5 billetes legendarios!	Día 15
Magnates del Resort: Día 16<br>¡Fruta selecta por encargo!<br>¡Has ganado 5 billetes legendarios!	Día 16
Magnates del Resort: Día 17<br>¡Mi actor favorito estaba allí!<br>¡Has ganado 5 billetes legendarios!	Día 17
Magnates del Resort: Día 18<br>¡Nuestro hotel sale en portada!<br>¡Has ganado 5 billetes legendarios!	Día 18
Magnates del Resort: Día 19<br>Escondido dentro de un maletín:<br>¡Has ganado 1 tique gatuno!	Día 19
Magnates del Resort: Día 20<br>¡Paga siempre la cuenta!<br>¡Has ganado 5 billetes legendarios!	Día 20
Magnates del Resort: Día 21<br>¡Disfruta de tu propio miauraíso!<br>¡Has ganado 5 billetes legendarios!	Día 21
