Expedición en el campo: Día 1<br>¡Has ganado 1 red legendaria!	Día 1
Expedición en el campo: Día 2<br>¡Has ganado 1 red legendaria!	Día 2
Expedición en el campo: Día 3<br>¡Has ganado 1 tique gatuno!	Día 3
Expedición en el campo: Día 4<br>¡Has ganado 1 red legendaria!	Día 4
Expedición en el campo: Día 5<br>¡Has ganado 1 red legendaria!	Día 5
Expedición en el campo: Día 6<br>¡Has ganado 1 red legendaria!	Día 6
Expedición en el campo: Día 7<br>¡Has ganado 1 red legendaria!	Día 7
Expedición en el campo: Día 8<br>¡Has ganado 1 red legendaria!	Día 8
Expedición en el campo: Día 9<br>¡Has ganado 1 red legendaria!	Día 9
Expedición en el campo: Día 10<br>¡Has ganado 1 tique raro!	Día 10
Expedición en el campo: Día 11<br>¡Has ganado 1 red legendaria!	Día 11
Expedición en el campo: Día 12<br>¡Has ganado 1 red legendaria!	Día 12
Expedición en el campo: Día 13<br>¡Has ganado 1 red legendaria!	Día 13
Expedición en el campo: Día 14<br>¡Has ganado 1 red legendaria!	Día 14
Expedición en el campo: Día 15<br>¡Has ganado 1 red legendaria!	Día 15
Expedición en el campo: Día 16<br>¡Has ganado 1 red legendaria!	Día 16
Expedición en el campo: Día 17<br>¡Has ganado 1 tique gatuno!	Día 17
Expedición en el campo: Día 18<br>¡Has ganado 1 red legendaria!	Día 18
Expedición en el campo: Día 19<br>¡Has ganado 1 red legendaria!	Día 19
Expedición en el campo: Día 20<br>¡Has ganado 1 red legendaria!	Día 20
Expedición en el campo: Día 21<br>¡Has ganado 1 red legendaria!	Día 21
