Aide à la découverte, jour 1<br>Tu as reçu 1 filet légendaire !	Jour 1
Aide à la découverte, jour 2<br>Tu as reçu 1 filet légendaire !	Jour 2
Aide à la découverte, jour 3<br>Tu as reçu 1 ticket Chapsule !	Jour 3
Aide à la découverte, jour 4<br>Tu as reçu 1 filet légendaire !	Jour 4
Aide à la découverte, jour 5<br>Tu as reçu 1 filet légendaire !	Jour 5
Aide à la découverte, jour 6<br>Tu as reçu 1 filet légendaire !	Jour 6
Aide à la découverte, jour 7<br>Tu as reçu 1 filet légendaire !	Jour 7
Aide à la découverte, jour 8<br>Tu as reçu 1 filet légendaire !	Jour 8
Aide à la découverte, jour 9<br>Tu as reçu 1 filet légendaire !	Jour 9
Aide à la découverte, jour 10<br>Tu as reçu 1 ticket rare !	Jour 10
Aide à la découverte, jour 11<br>Tu as reçu 1 filet légendaire !	Jour 11
Aide à la découverte, jour 12<br>Tu as reçu 1 filet légendaire !	Jour 12
Aide à la découverte, jour 13<br>Tu as reçu 1 filet légendaire !	Jour 13
Aide à la découverte, jour 14<br>Tu as reçu 1 filet légendaire !	Jour 14
Aide à la découverte, jour 15<br>Tu as reçu 1 filet légendaire !	Jour 15
Aide à la découverte, jour 16<br>Tu as reçu 1 filet légendaire !	Jour 16
Aide à la découverte, jour 17<br>Tu as reçu 1 ticket Chapsule !	Jour 17
Aide à la découverte, jour 18<br>Tu as reçu 1 filet légendaire !	Jour 18
Aide à la découverte, jour 19<br>Tu as reçu 1 filet légendaire !	Jour 19
Aide à la découverte, jour 20<br>Tu as reçu 1 filet légendaire !	Jour 20
Aide à la découverte, jour 21<br>Tu as reçu 1 filet légendaire !	Jour 21
