Magnate dei resort, giorno 1<br>È tempo di costruire un resort!<br>Ottieni 5 banconote leggendarie!	Giorno 1
Magnate dei resort, giorno 2<br>Lidi incontaminati per gli ospiti!<br>Ottieni 5 banconote leggendarie!	Giorno 2
Magnate dei resort, giorno 3<br>Hotel di lusso ultimato!<br>Ottieni 5 banconote leggendarie!	Giorno 3
Magnate dei resort, giorno 4<br>Omaggio per festeggiare l'apertura!<br>Ottieni 1 miaobiglietto!	Giorno 4
Magnate dei resort, giorno 5<br>Un succo frizzante è l'ideale!<br>Ottieni 5 banconote leggendarie!	Giorno 5
Magnate dei resort, giorno 6<br>Divertimento in spiaggia a volontà!<br>Ottieni 5 banconote leggendarie!	Giorno 6
Magnate dei resort, giorno 7<br>Le recensioni sono positive!<br>Ottieni 5 banconote leggendarie!	Giorno 7
Magnate dei resort, giorno 8<br>Campagna pubblicitaria mondiale!<br>Ottieni 5 banconote leggendarie!	Giorno 8
Magnate dei resort, giorno 9<br>Vendita gadget personalizzati!<br>Ottieni 1 miaobiglietto!	Giorno 9
Magnate dei resort, giorno 10<br>I profitti sono alle stelle!<br>Ottieni 5 banconote leggendarie!	Giorno 10
Magnate dei resort, giorno 11<br>Grandi firme dalla testa ai piedi!<br>Ottieni 5 banconote leggendarie!	Giorno 11
Magnate dei resort, giorno 12<br>Banconote a mo' di ventaglio!<br>Ottieni 5 banconote leggendarie!	Giorno 12
Magnate dei resort, giorno 13<br>Tintarella sulla sabbia bianca!<br>Ottieni 5 banconote leggendarie!	Giorno 13
Magnate dei resort, giorno 14<br>Gli inviti alla festa includono<br>1 Biglietto raro!	Giorno 14
Magnate dei resort, giorno 15<br>Ci si sposta solo in elicottero!<br>Ottieni 5 banconote leggendarie!	Giorno 15
Magnate dei resort, giorno 16<br>Ordinate frutta di prima scelta!<br>Ottieni 5 banconote leggendarie!	Giorno 16
Magnate dei resort, giorno 17<br>C'era il mio attore preferito!<br>Ottieni 5 banconote leggendarie!	Giorno 17
Magnate dei resort, giorno 18<br>Siamo in copertina!<br>Ottieni 5 banconote leggendarie!	Giorno 18
Magnate dei resort, giorno 19<br>Nascosto dentro una valigetta...<br>Ottieni 1 miaobiglietto!	Giorno 19
Magnate dei resort, giorno 20<br>Paga sempre il conto al ristorante!<br>Ottieni 5 banconote leggendarie!	Giorno 20
Magnate dei resort, giorno 21<br>Un caloroso benvenuto in paradiso!<br>Ottieni 5 banconote leggendarie!	Giorno 21
