Sovvenzione sul campo, giorno 1!<br>Ottieni 1 rete leggendaria!	Giorno 1
Sovvenzione sul campo, giorno 2!<br>Ottieni 1 rete leggendaria!	Giorno 2
Sovvenzione sul campo, giorno 3!<br>Ottieni 1 miaobiglietto!	Giorno 3
Sovvenzione sul campo, giorno 4!<br>Ottieni 1 rete leggendaria!	Giorno 4
Sovvenzione sul campo, giorno 5!<br>Ottieni 1 rete leggendaria!	Giorno 5
Sovvenzione sul campo, giorno 6!<br>Ottieni 1 rete leggendaria!	Giorno 6
Sovvenzione sul campo, giorno 7!<br>Ottieni 1 rete leggendaria!	Giorno 7
Sovvenzione sul campo, giorno 8!<br>Ottieni 1 rete leggendaria!	Giorno 8
Sovvenzione sul campo, giorno 9!<br>Ottieni 1 rete leggendaria!	Giorno 9
Sovvenzione sul campo, giorno 10<br>Ottieni 1 biglietto raro!	Giorno 10
Sovvenzione sul campo, giorno 11!<br>Ottieni 1 rete leggendaria!	Giorno 11
Sovvenzione sul campo, giorno 12!<br>Ottieni 1 rete leggendaria!	Giorno 12
Sovvenzione sul campo, giorno 13!<br>Ottieni 1 rete leggendaria!	Giorno 13
Sovvenzione sul campo, giorno 14!<br>Ottieni 1 rete leggendaria!	Giorno 14
Sovvenzione sul campo, giorno 15!<br>Ottieni 1 rete leggendaria!	Giorno 15
Sovvenzione sul campo, giorno 16!<br>Ottieni 1 rete leggendaria!	Giorno 16
Sovvenzione sul campo, giorno 17!<br>Ottieni 1 miaobiglietto!	Giorno 17
Sovvenzione sul campo, giorno 18!<br>Ottieni 1 rete leggendaria!	Giorno 18
Sovvenzione sul campo, giorno 19!<br>Ottieni 1 rete leggendaria!	Giorno 19
Sovvenzione sul campo, giorno 20!<br>Ottieni 1 rete leggendaria!	Giorno 20
Sovvenzione sul campo, giorno 21!<br>Ottieni 1 rete leggendaria!	Giorno 21
